Field,ID,Type (Type),default,en-us,en,ru,ru-ru,kk-kz,de-de,it-it,tg-cyrl-tj,uz-latn-uz,fr-fr,es-es,pt-br,pt-pt
HolographicScreenshot23,422,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot24,423,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot25,424,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot26,425,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot27,426,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot28,427,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot29,428,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot30,429,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshotCaption1,450,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption2,451,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption3,452,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption4,453,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption5,454,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption6,455,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption7,456,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption8,457,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption9,458,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption10,459,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption11,460,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption12,461,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption13,462,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption14,463,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption15,464,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption16,465,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption17,466,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption18,467,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption19,468,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption20,469,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption21,470,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption22,471,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption23,472,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption24,473,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption25,474,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption26,475,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption27,476,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption28,477,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption29,478,Text,,,,,,,,,,,,,,
HolographicScreenshotCaption30,479,Text,,,,,,,,,,,,,,
SurfaceHubScreenshot11,510,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
SurfaceHubScreenshot12,511,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
SurfaceHubScreenshot13,512,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
SurfaceHubScreenshot14,513,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
SurfaceHubScreenshot15,514,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
SurfaceHubScreenshot16,515,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
SurfaceHubScreenshot17,516,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
SurfaceHubScreenshot18,517,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
SurfaceHubScreenshot19,518,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
SurfaceHubScreenshot20,519,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
SurfaceHubScreenshot21,520,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
SurfaceHubScreenshot22,521,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
SurfaceHubScreenshot23,522,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
SurfaceHubScreenshot24,523,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
SurfaceHubScreenshot25,524,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
SurfaceHubScreenshot26,525,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
SurfaceHubScreenshot27,526,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
SurfaceHubScreenshot28,527,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
SurfaceHubScreenshot29,528,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
SurfaceHubScreenshot30,529,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
SurfaceHubScreenshotCaption11,560,Text,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption12,561,Text,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption13,562,Text,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption14,563,Text,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption15,564,Text,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption16,565,Text,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption17,566,Text,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption18,567,Text,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption19,568,Text,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption20,569,Text,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption21,570,Text,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption22,571,Text,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption23,572,Text,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption24,573,Text,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption25,574,Text,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption26,575,Text,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption27,576,Text,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption28,577,Text,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption29,578,Text,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption30,579,Text,,,,,,,,,,,,,,
StoreLogo720x1080,600,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
StoreLogo1080x1080,601,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
StoreLogo300x300,602,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700023868723/listingassets/3002302617812442280,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700023869582/listingassets/3002302617812442280,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700023869590/listingassets/3002302617812442280,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024123359/listingassets/3002302617812442280,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380166/listingassets/3002302617812442280,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380168/listingassets/3002302617812442280,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380106/listingassets/3002302617812442280,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380108/listingassets/3002302617812442280,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380618/listingassets/3002302617812442280,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380616/listingassets/3002302617812442280,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700026548166/listingassets/3002302617812442280,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700026547898/listingassets/3002302617812442280,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700026547906/listingassets/3002302617812442280
OverrideLogosForWin10,603,True/False,,False,False,False,False,False,False,False,False,False,False,False,False,False
StoreLogoOverride150x150,604,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
StoreLogoOverride71x71,605,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
PromoImage1920x1080,606,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
PromoImage2400x1200,607,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxBrandedKeyArt584x800,608,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxTitledHero1920x1080,609,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxFeaturedPromo1080x1080,610,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
OptionalPromo358x358,611,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
OptionalPromo1000x800,612,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
OptionalPromo414x180,613,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
Feature1,700,Text,,"Clean project context for ChatGPT, Claude, and other AI tools","Clean project context for ChatGPT, Claude, and other AI tools","Чистый контекст проекта для ChatGPT, Claude и других ИИ","Чистый контекст проекта для ChatGPT, Claude и других ИИ","ChatGPT, Claude және басқа ЖИ құралдарына арналған таза контекст","Sauberer Projektkontext für ChatGPT, Claude und andere KI-Tools","Contesto pulito per ChatGPT, Claude e altri strumenti IA","Контексти тоза барои ChatGPT, Claude ва дигар абзорҳои AI","ChatGPT, Claude va boshqa AI vositalari uchun toza kontekst","Contexte de projet propre pour ChatGPT, Claude et autres IA","Contexto limpio para ChatGPT, Claude y otras herramientas de IA","Contexto limpo para ChatGPT, Claude e outras ferramentas de IA","Contexto limpo para ChatGPT, Claude e outras ferramentas de IA"
Feature2,701,Text,,"GUI, TUI, and CLI in one application","GUI, TUI, and CLI in one application","GUI, TUI и CLI в одном приложении","GUI, TUI и CLI в одном приложении","GUI, TUI және CLI бір қолданбада","GUI, TUI und CLI in einer Anwendung","GUI, TUI e CLI in un’unica applicazione","GUI, TUI ва CLI дар як барнома","GUI, TUI va CLI bitta ilovada","GUI, TUI et CLI dans une seule application","GUI, TUI y CLI en una sola aplicación","GUI, TUI e CLI em um só aplicativo","GUI, TUI e CLI numa só aplicação"
Feature3,702,Text,,Live preview of the project tree and file contents,Live preview of the project tree and file contents,Живое превью дерева проекта и содержимого файлов,Живое превью дерева проекта и содержимого файлов,Жоба ағашы мен файл мазмұнының тікелей көрінісі,Live-Vorschau von Projektbaum und Dateiinhalten,Anteprima live dell’albero del progetto e dei file,Пешнамоиши зиндаи дарахт ва мундариҷаи файлҳо,Loyiha daraxti va fayl mazmunining jonli ko‘rinishi,Aperçu en direct de l’arborescence et des fichiers,Vista previa en directo del árbol y los archivos,Visualização ao vivo da árvore e do conteúdo dos arquivos,Pré-visualização da árvore e do conteúdo dos ficheiros
Feature4,703,Text,,"Smart Ignore, .gitignore, and Git-tracked mode","Smart Ignore, .gitignore, and Git-tracked mode","Smart Ignore, .gitignore и режим отслеживаемых Git-файлов","Smart Ignore, .gitignore и режим отслеживаемых Git-файлов","Smart Ignore, .gitignore және Git бақылайтын файлдар режимі","Smart Ignore, .gitignore und Git-Tracked-Modus","Smart Ignore, .gitignore e modalità file tracciati da Git","Smart Ignore, .gitignore ва реҷаи файлҳои пайгиришавандаи Git","Smart Ignore, .gitignore va Git kuzatadigan fayllar rejimi","Smart Ignore, .gitignore et mode fichiers suivis par Git","Smart Ignore, .gitignore y modo de archivos seguidos por Git","Smart Ignore, .gitignore e arquivos rastreados pelo Git","Smart Ignore, .gitignore e ficheiros controlados pelo Git"
Feature5,704,Text,,"Independent selection of folders, file types, and files","Independent selection of folders, file types, and files","Независимый выбор папок, расширений и отдельных файлов","Независимый выбор папок, расширений и отдельных файлов","Бумаларды, файл түрлерін және файлдарды тәуелсіз таңдау","Unabhängige Auswahl von Ordnern, Dateitypen und Dateien","Selezione indipendente di cartelle, tipi di file e file","Интихоби мустақили ҷузвдонҳо, навъҳо ва файлҳо","Papkalar, fayl turlari va fayllarni mustaqil tanlash","Sélection indépendante des dossiers, types et fichiers","Selección independiente de carpetas, tipos y archivos","Seleção independente de pastas, tipos e arquivos","Seleção independente de pastas, tipos e ficheiros"
Feature6,705,Text,,"Copy or export as ASCII, Markdown, JSON, and XML","Copy or export as ASCII, Markdown, JSON, and XML","Копирование и экспорт в ASCII, Markdown, JSON и XML","Копирование и экспорт в ASCII, Markdown, JSON и XML","ASCII, Markdown, JSON және XML түрінде көшіру және экспорт","Kopieren und Export als ASCII, Markdown, JSON und XML","Copia ed esportazione in ASCII, Markdown, JSON e XML","Нусхабардорӣ ва содирот ба ASCII, Markdown, JSON ва XML","ASCII, Markdown, JSON va XML formatida nusxalash va eksport","Copie et export en ASCII, Markdown, JSON et XML","Copia y exportación en ASCII, Markdown, JSON y XML","Cópia e exportação em ASCII, Markdown, JSON e XML","Cópia e exportação em ASCII, Markdown, JSON e XML"
Feature7,706,Text,,Export selected files to a folder or ZIP archive,Export selected files to a folder or ZIP archive,Экспорт выбранных файлов в папку или ZIP-архив,Экспорт выбранных файлов в папку или ZIP-архив,Таңдалған файлдарды бумаға немесе ZIP мұрағатына экспорттау,Ausgewählte Dateien als Ordner oder ZIP-Archiv exportieren,Esportazione dei file selezionati in cartella o archivio ZIP,Содироти файлҳои интихобшуда ба ҷузвдон ё ZIP,Tanlangan fayllarni papka yoki ZIP arxiviga eksport qilish,Export des fichiers sélectionnés vers un dossier ou une archive ZIP,Exportación de archivos seleccionados a carpeta o ZIP,Exportação dos arquivos selecionados para pasta ou ZIP,Exportação dos ficheiros selecionados para pasta ou ZIP
Feature8,707,Text,,"Search, filters, and line, character, and token metrics","Search, filters, and line, character, and token metrics","Поиск, фильтры и метрики строк, символов и токенов","Поиск, фильтры и метрики строк, символов и токенов","Іздеу, сүзгілер және жол, таңба, токен метрикалары","Suche, Filter sowie Zeilen-, Zeichen- und Tokenmetriken","Ricerca, filtri e metriche di righe, caratteri e token","Ҷустуҷӯ, филтрҳо ва метрикаҳои сатр, аломат ва токен","Qidiruv, filtrlar va satr, belgi, token metrikalari","Recherche, filtres et métriques de lignes, caractères et tokens","Búsqueda, filtros y métricas de líneas, caracteres y tokens","Busca, filtros e métricas de linhas, caracteres e tokens","Pesquisa, filtros e métricas de linhas, caracteres e tokens"
Feature9,708,Text,,Local profiles and built-in Git workflows,Local profiles and built-in Git workflows,Локальные профили и встроенные Git-инструменты,Локальные профили и встроенные Git-инструменты,Жергілікті профильдер және кірістірілген Git құралдары,Lokale Profile und integrierte Git-Abläufe,Profili locali e strumenti Git integrati,Профилҳои маҳаллӣ ва абзорҳои дарунсохти Git,Lokal profillar va ichki Git vositalari,Profils locaux et outils Git intégrés,Perfiles locales y herramientas Git integradas,Perfis locais e ferramentas Git integradas,Perfis locais e ferramentas Git integradas
Feature10,709,Text,,"Local, read-only, with no telemetry or account required","Local, read-only, with no telemetry or account required","Локальная работа, read-only, без телеметрии и аккаунта","Локальная работа, read-only, без телеметрии и аккаунта","Жергілікті, тек оқу режимінде, телеметриясыз және тіркелгісіз","Lokal, schreibgeschützt, ohne Telemetrie oder Konto","Locale, sola lettura, senza telemetria né account","Маҳаллӣ, танҳо хондан, бе телеметрия ва аккаунт","Lokal, faqat o‘qish, telemetriyasiz va akkauntsiz","Local, en lecture seule, sans télémétrie ni compte","Local, solo lectura, sin telemetría ni cuenta","Local, somente leitura, sem telemetria nem conta","Local, só de leitura, sem telemetria nem conta"
Feature11,710,Text,,,,,,,,,,,,,,
Feature12,711,Text,,,,,,,,,,,,,,
Feature13,712,Text,,,,,,,,,,,,,,
Feature14,713,Text,,,,,,,,,,,,,,
Feature15,714,Text,,,,,,,,,,,,,,
Feature16,715,Text,,,,,,,,,,,,,,
Feature17,716,Text,,,,,,,,,,,,,,
Feature18,717,Text,,,,,,,,,,,,,,
Feature19,718,Text,,,,,,,,,,,,,,
Feature20,719,Text,,,,,,,,,,,,,,
MinimumHardwareReq1,800,Text,,,,,,,,,,,,,,
MinimumHardwareReq2,801,Text,,,,,,,,,,,,,,
MinimumHardwareReq3,802,Text,,,,,,,,,,,,,,
MinimumHardwareReq4,803,Text,,,,,,,,,,,,,,
MinimumHardwareReq5,804,Text,,,,,,,,,,,,,,
MinimumHardwareReq6,805,Text,,,,,,,,,,,,,,
MinimumHardwareReq7,806,Text,,,,,,,,,,,,,,
MinimumHardwareReq8,807,Text,,,,,,,,,,,,,,
MinimumHardwareReq9,808,Text,,,,,,,,,,,,,,
MinimumHardwareReq10,809,Text,,,,,,,,,,,,,,
MinimumHardwareReq11,810,Text,,,,,,,,,,,,,,
RecommendedHardwareReq1,850,Text,,,,,,,,,,,,,,
RecommendedHardwareReq2,851,Text,,,,,,,,,,,,,,
RecommendedHardwareReq3,852,Text,,,,,,,,,,,,,,
RecommendedHardwareReq4,853,Text,,,,,,,,,,,,,,
RecommendedHardwareReq5,854,Text,,,,,,,,,,,,,,
RecommendedHardwareReq6,855,Text,,,,,,,,,,,,,,
RecommendedHardwareReq7,856,Text,,,,,,,,,,,,,,
RecommendedHardwareReq8,857,Text,,,,,,,,,,,,,,
RecommendedHardwareReq9,858,Text,,,,,,,,,,,,,,
RecommendedHardwareReq10,859,Text,,,,,,,,,,,,,,
RecommendedHardwareReq11,860,Text,,,,,,,,,,,,,,
SearchTerm1,900,Text,,project context,project context,контекст проекта,контекст проекта,жоба контексті,Projektkontext,contesto progetto,контексти лоиҳа,loyiha konteksti,contexte projet,contexto proyecto,contexto projeto,contexto projeto
SearchTerm2,901,Text,,AI codebase,AI codebase,код для ИИ,код для ИИ,ЖИ код базасы,KI Codebasis,codice per IA,код барои AI,AI kod bazasi,code pour IA,código para IA,código para IA,código para IA
SearchTerm3,902,Text,,ChatGPT code,ChatGPT code,ChatGPT код,ChatGPT код,ChatGPT коды,ChatGPT Code,codice ChatGPT,коди ChatGPT,ChatGPT kodi,code ChatGPT,código ChatGPT,código ChatGPT,código ChatGPT
SearchTerm4,903,Text,,Claude context,Claude context,Claude контекст,Claude контекст,Claude контексті,Claude Kontext,contesto Claude,контексти Claude,Claude konteksti,contexte Claude,contexto Claude,contexto Claude,contexto Claude
SearchTerm5,904,Text,,project tree,project tree,дерево проекта,дерево проекта,жоба ағашы,Projektbaum,albero progetto,дарахти лоиҳа,loyiha daraxti,arborescence projet,árbol proyecto,árvore projeto,árvore projeto
SearchTerm6,905,Text,,token counter,token counter,подсчёт токенов,подсчёт токенов,токен санау,Token zählen,conteggio token,ҳисоби токенҳо,token hisoblash,compteur tokens,contador tokens,contador tokens,contagem tokens
SearchTerm7,906,Text,,gitignore viewer,gitignore viewer,просмотр gitignore,просмотр gitignore,gitignore қарау,gitignore Viewer,visualizzatore gitignore,намоиши gitignore,gitignore ko‘rish,visionneuse gitignore,visor gitignore,visualizador gitignore,visualizador gitignore
TrailerToPlayAtTopOfListing,999,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
Trailer1,1000,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
Trailer2,1001,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
Trailer3,1002,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
Trailer4,1003,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
Trailer5,1004,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
Trailer6,1005,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
Trailer7,1006,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
Trailer8,1007,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
Trailer9,1008,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
Trailer10,1009,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
Trailer11,1010,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
Trailer12,1011,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
Trailer13,1012,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
Trailer14,1013,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
Trailer15,1014,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerTitle1,1020,Text,,,,,,,,,,,,,,
TrailerTitle2,1021,Text,,,,,,,,,,,,,,
TrailerTitle3,1022,Text,,,,,,,,,,,,,,
TrailerTitle4,1023,Text,,,,,,,,,,,,,,
TrailerTitle5,1024,Text,,,,,,,,,,,,,,
TrailerTitle6,1025,Text,,,,,,,,,,,,,,
TrailerTitle7,1026,Text,,,,,,,,,,,,,,
TrailerTitle8,1027,Text,,,,,,,,,,,,,,
TrailerTitle9,1028,Text,,,,,,,,,,,,,,
TrailerTitle10,1029,Text,,,,,,,,,,,,,,
TrailerTitle11,1030,Text,,,,,,,,,,,,,,
TrailerTitle12,1031,Text,,,,,,,,,,,,,,
TrailerTitle13,1032,Text,,,,,,,,,,,,,,
TrailerTitle14,1033,Text,,,,,,,,,,,,,,
TrailerTitle15,1034,Text,,,,,,,,,,,,,,
TrailerThumbnail1,1040,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerThumbnail2,1041,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerThumbnail3,1042,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerThumbnail4,1043,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerThumbnail5,1044,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerThumbnail6,1045,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerThumbnail7,1046,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerThumbnail8,1047,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerThumbnail9,1048,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerThumbnail10,1049,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerThumbnail11,1050,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerThumbnail12,1051,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerThumbnail13,1052,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerThumbnail14,1053,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerThumbnail15,1054,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerClosedCaption1,1055,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerClosedCaption2,1056,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerClosedCaption3,1057,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerClosedCaption4,1058,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerClosedCaption5,1059,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerClosedCaption6,1060,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerClosedCaption7,1061,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerClosedCaption8,1062,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerClosedCaption9,1063,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerClosedCaption10,1064,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerClosedCaption11,1065,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerClosedCaption12,1066,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerClosedCaption13,1067,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerClosedCaption14,1068,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerClosedCaption15,1069,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerAudioDescription1,1070,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerAudioDescription2,1071,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerAudioDescription3,1072,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerAudioDescription4,1073,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerAudioDescription5,1074,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerAudioDescription6,1075,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerAudioDescription7,1076,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerAudioDescription8,1077,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerAudioDescription9,1078,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerAudioDescription10,1079,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerAudioDescription11,1080,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerAudioDescription12,1081,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerAudioDescription13,1082,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerAudioDescription14,1083,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
TrailerAudioDescription15,1084,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
